sbj_schedule_code,sbj_code,sbj_description,sbj_unit,sbj_year,sbj_section,sbj_course,sbj_sem,sbj_sy
6918,MBA 303,ECONOMICS FOR MANAGERS,3,4TH,A,MBA,2ND,2015-2016
6917,MBA 302,MANAGERIAL STATISTICS,3,4TH,A,MBA,2ND,2015-2016
6916,MBA 301,RESEARCH FOR MANAGERS,3,4TH,A,MBA,2ND,2015-2016
6915,,,,,,,,
6914,TW 330,THESIS WRITING,6,4TH,A,MATS,2ND,2015-2016
6913,STW 320,SEMINAR IN THESIS WRITING,3,4TH,A,MATS,2ND,2015-2016
6912,MATS 314,TEACHING SCIENCE IN THE TERTIARY LEVEL,3,4TH,A,MATS,2ND,2015-2016
6911,MATS 313,HISTORY AND PHILOSOPHY OF SCIENCE AND TECHNOLOGY EDUCATION,3,4TH,A,MATS,2ND,2015-2016
6910,MATS 312,SELECTED TOPICS IN ENVIRONMENTAL SCIENCE,3,4TH,A,MATS,2ND,2015-2016
6909,MATS 311,SEMINAR IN ISSUES AND TRENDS IN SCIENCE AND TECHNOLOGY EDUCATION,3,4TH,A,MATS,2ND,2015-2016
6908,MATS 310,SEMINAR ON CURRICULUM DESIGN AND INSTRUCTION FOR SCIENCE EDUCATION,3,4TH,A,MATS,2ND,2015-2016
6907,MATS 309,DEVELOPMENT AND EVALUATION OF INSTRUCTIONAL MATERIALS FOR SCIENCE EDUCATION,3,4TH,A,MATS,2ND,2015-2016
6906,MATS 308,INTENSIVE LABORATORY COURSE IN SCIENCE,3,4TH,A,MATS,2ND,2015-2016
6905,MATS 307,ADVANCED TOPICS IN PHYSICS FOR TEACHERS,3,4TH,A,MATS,2ND,2015-2016
6904,MATS 306,ADVANCED TOPICS IN CHEMISTRY FOR TEACHERS,3,4TH,A,MATS,2ND,2015-2016
6903,MATS 305,ADVANCED TOPICS IN BILOGY FOR TEACHERS,3,4TH,A,MATS,2ND,2015-2016
6902,MATS 304,SCIENCE FOR BASIC EDUCATION TEACHERS,3,4TH,A,MATS,2ND,2015-2016
6901,MATS 303,PSYCHO-PHILOSOPHICAL FOUNDATION OF EDUCATION,3,4TH,A,MATS,2ND,2015-2016
6900,MATS 302,STATISTICAL METHODS APPLIED TO EDUCATION,3,4TH,A,MATS,2ND,2015-2016
6899,MATS 301,MEHODS OF EDUCATIONAL RESEARCH,3,4TH,A,MATS,2ND,2015-2016
6898,,,,,,,,
6897,TW 330,THESIS WRITING,6,4TH,A,MATG,2ND,2015-2016
6896,STW 320,SEMINAR IN THESIS WRITING,3,4TH,A,MATG,2ND,2015-2016
6895,MATG 314,SELECTED TOPICS IN EARLY CHILDHOOD EDUCATION,3,4TH,A,MATG,2ND,2015-2016
6894,MATG 313,BEGINNING NUMBER AND SCIENCE CONCEPTS IN CHILDREN,3,4TH,A,MATG,2ND,2015-2016
6893,MATG 312,SEMINAR ON CHILDREN'S LITERATURE ACROSS CULTURES,3,4TH,A,MATG,2ND,2015-2016
6892,MATG 311,APPLIED LINGUISTICS FOR TEACHING IN THE EARLY GRADES,3,4TH,A,MATG,2ND,2015-2016
6891,MATG 310,INSTRUCTIONAL APPROACHES &  TECHNIQUES IN ART EDUCATION,3,4TH,A,MATG,2ND,2015-2016
6890,MATG 309,PSYCHOLOGY OF TEACHING-LEARNING THE FUNDAMENTAL SUBJECTS FROM KINDER THROUGH ELEMENTARY GRADES,3,4TH,A,MATG,2ND,2015-2016
6889,MATG 308,CURRICULUM DESIGN IN THE EARLY GRADES,3,4TH,A,MATG,2ND,2015-2016
6888,MATG 307,EARLY READING INTERVENTION PROGRAMS,3,4TH,A,MATG,2ND,2015-2016
6887,MATG 306,ASSESSMENTS IN THE EARLY GRADES,3,4TH,A,MATG,2ND,2015-2016
6886,MATG 305,TRENDS AND APPROACHES IN TEACHING IN THE EARLY GRADES,3,4TH,A,MATG,2ND,2015-2016
6885,MATG 304,FOUNDATION OF TEACHING IN THE EARLY GRADES,3,4TH,A,MATG,2ND,2015-2016
6884,MATG 303,PSYCHO-PHILOSOPHICAL FOUNDATION OF EDUCATION,3,4TH,A,MATG,2ND,2015-2016
6883,MATG 302,STATISTICS METHODS APPLIED TO EDUCATION,3,4TH,A,MATG,2ND,2015-2016
6882,MATG 301,METHODS OF EDUCATIONAL RESEARCH,3,4TH,A,MATG,2ND,2015-2016
6881,,,,,,,,
6880,TW 330,THESIS WRITING,6,4TH,A,MAED,2ND,2015-2016
6879,STW 320,SEMINAR IN THESIS WRITING,3,4TH,A,MAED,2ND,2015-2016
6878,MAED 314,PRACTICUM IN SCHOOL ADMINISTRATION,3,4TH,A,MAED,2ND,2015-2016
6877,MAED 313,CHANGE MANAGEMENT,3,4TH,A,MAED,2ND,2015-2016
6876,MAED 312,SEMINAR IN CURRICULUM DESIGN AND INSTRUCTION,3,4TH,A,MAED,2ND,2015-2016
6875,MAED 311,HUMAN BEHAVIOR IN EDUCATIONAL ORGANIZATION,3,4TH,A,MAED,2ND,2015-2016
6874,MAED 310,COMPARATIVE EDUCATIONAL SYSTEM     ,3,4TH,A,MAED,2ND,2015-2016
6873,MAED 309,EDUCATION AND THE LAW,3,4TH,A,MAED,2ND,2015-2016
6872,MAED 308,EDUCATIONAL LEADERSHIP,3,4TH,A,MAED,2ND,2015-2016
6871,MAED 307,FINANCIAL MANAGEMENT AND BUDGETING IN EDUCATION,3,4TH,A,MAED,2ND,2015-2016
6870,MAED 306,SUPERVISION OF INSTRUCTION AND SCHOOL ACTIVITIES,3,4TH,A,MAED,2ND,2015-2016
6869,MAED 305,PROGRAM/PROJECT PLANNING AND EVALUATION,3,4TH,A,MAED,2ND,2015-2016
6868,MAED 304,ORGANIZATION AND MANAGEMENT OF EDUCATIONAL INSTITUTIONS,3,4TH,A,MAED,2ND,2015-2016
6867,MAED 303,PSYCHO-PHILOSOPHICAL FOUNDATION OF EDUCATION,3,4TH,A,MAED,2ND,2015-2016
6866,MAED 302,STATISTICAL METHODS APPLIED TO EDUCATION,3,4TH,A,MAED,2ND,2015-2016
6865,MAED 301,RESEARCH METHODS APPLIED TO EDUCATIONAL MANAGEMENT,3,4TH,A,MAED,2ND,2015-2016
6821,,,,,,,,
6820,EDUC 207,OBSERVATION AND PARTICIPATION / OFF-CAMPUS INTERNSHIP,6,4TH,A,CPE-ELEM,2ND,2015-2016
6819,EDUC 206,MEASUREMENT AND EVALUATION,3,4TH,A,CPE-ELEM,2ND,2015-2016
6818,EDUC 205,TEACHING STRATEGIES,3,4TH,A,CPE-ELEM,2ND,2015-2016
6817,EDUC 204,EDUCATIONAL TECHNOLOGY 1 AND 2,3,4TH,A,CPE-ELEM,2ND,2015-2016
6816,EDUC 203,CURRICULUM DEVELOPMENT (K-12),3,4TH,A,CPE-ELEM,2ND,2015-2016
6815,EDUC 202,CHILD AND ADOLESCENT DEVELOPMENT,3,4TH,A,CPE-ELEM,2ND,2015-2016
6814,EDUC 201,FOUNDATIONS OF EDUCATION 1 AND 2,3,4TH,A,CPE-ELEM,2ND,2015-2016
6813,,,,,,,,
6812,EDUC 204,TEACHING STRATEGIES,3,4TH,C,CPE-SEC,2ND,2015-2016
6811,EDUC 203,CURRICULUM DEVELOPMENT (K-12),3,4TH,C,CPE-SEC,2ND,2015-2016
6810,EDUC 202,EDUCATIONAL PSYCHOLOGY,3,4TH,C,CPE-SEC,2ND,2015-2016
6809,EDUC 201,FOUNDATIONS OF EDUCATION 1 AND 2,3,4TH,C,CPE-SEC,2ND,2015-2016
6808,,,,,,,,
6807,EDUC 207,OBSERVATION AND PARTICIPATION / OFF-CAMPUS INTERNSHIP,6,4TH,B,CPE-SEC,2ND,2015-2016
6806,EDUC 206,PRINCIPLES AND TECHNIQUES OF GUIDANCE,3,4TH,B,CPE-SEC,2ND,2015-2016
6805,EDUC 205,MEASUREMENT AND EVALUATION,3,4TH,B,CPE-SEC,2ND,2015-2016
6804,EDUC 204,TEACHING STRATEGIES,3,4TH,B,CPE-SEC,2ND,2015-2016
6803,EDUC 203,CURRICULUM DEVELOPMENT (K-12),3,4TH,B,CPE-SEC,2ND,2015-2016
6802,EDUC 202,EDUCATIONAL PSYCHOLOGY,3,4TH,B,CPE-SEC,2ND,2015-2016
6801,EDUC 201,FOUNDATIONS OF EDUCATION 1 AND 2,3,4TH,B,CPE-SEC,2ND,2015-2016
6800,,,,,,,,
6799,EDUC 207,OBSERVATION AND PARTICIPATION / OFF-CAMPUS INTERNSHIP,6,4TH,A,CPE-SEC,2ND,2015-2016
6798,EDUC 206,PRINCIPLES AND TECHNIQUES OF GUIDANCE,3,4TH,A,CPE-SEC,2ND,2015-2016
6797,EDUC 205,MEASUREMENT AND EVALUATION,3,4TH,A,CPE-SEC,2ND,2015-2016
6796,EDUC 204,TEACHING STRATEGIES,3,4TH,A,CPE-SEC,2ND,2015-2016
6795,EDUC 203,CURRICULUM DEVELOPMENT (K-12),3,4TH,A,CPE-SEC,2ND,2015-2016
6794,EDUC 202,EDUCATIONAL PSYCHOLOGY,3,4TH,A,CPE-SEC,2ND,2015-2016
6793,EDUC 201,FOUNDATIONS OF EDUCATION 1 AND 2,3,4TH,A,CPE-SEC,2ND,2015-2016
6792,,,,,,,,
6791,COM 002,SPREADSHEETS,3,4TH,C,AB POLSCI,2ND,2015-2016
6790,PS 426,PRACTICUM 2,6,4TH,C,AB POLSCI,2ND,2015-2016
6789,PS A4,AMERICAN POLITICAL PHILOSOPHY,3,4TH,C,AB POLSCI,2ND,2015-2016
6788,PS 425,METHODS AND RESEARCH II,3,4TH,C,AB POLSCI,2ND,2015-2016
6787,PS 423,INTERNATIONAL POLITICAL ECONOMY,3,4TH,C,AB POLSCI,2ND,2015-2016
6786,PS 422,GOVT AND POLITICS OF EUROPEAN STATES,3,4TH,C,AB POLSCI,2ND,2015-2016
6785,,,,,,,,
6784,COM 002,SPREADSHEETS,3,4TH,B,AB POLSCI,2ND,2015-2016
6783,PS 426,PRACTICUM 2,6,4TH,B,AB POLSCI,2ND,2015-2016
6782,PS A4,AMERICAN POLITICAL PHILOSOPHY,3,4TH,B,AB POLSCI,2ND,2015-2016
6781,PS 425,METHODS AND RESEARCH II,3,4TH,B,AB POLSCI,2ND,2015-2016
6780,PS 423,INTERNATIONAL POLITICAL ECONOMY,3,4TH,B,AB POLSCI,2ND,2015-2016
6779,PS 422,GOVT AND POLITICS OF EUROPEAN STATES,3,4TH,B,AB POLSCI,2ND,2015-2016
6778,,,,,,,,
6777,COM 002,SPREADSHEETS,3,4TH,A,AB POLSCI,2ND,2015-2016
6776,PS 426,PRACTICUM 2,6,4TH,A,AB POLSCI,2ND,2015-2016
6775,PS A4,AMERICAN POLITICAL PHILOSOPHY,3,4TH,A,AB POLSCI,2ND,2015-2016
6774,PS 425,METHODS AND RESEARCH II,3,4TH,A,AB POLSCI,2ND,2015-2016
6773,PS 423,INTERNATIONAL POLITICAL ECONOMY,3,4TH,A,AB POLSCI,2ND,2015-2016
6772,PS 422,GOVT AND POLITICS OF EUROPEAN STATES,3,4TH,A,AB POLSCI,2ND,2015-2016
6771,,,,,,,,
6770,PS 424,INTERNATIONAL LAW,3,3RD,C,AB POLSCI,2ND,2015-2016
6769,PS A2,DIPLOMATIC AND CONSULAR PRACTICES,3,3RD,C,AB POLSCI,2ND,2015-2016
6768,LAW 003,PARTNERSHIP AND CORPORATION,3,3RD,C,AB POLSCI,2ND,2015-2016
6767,PS A3,PHILIPPINE FOREIGN RELATION,3,3RD,C,AB POLSCI,2ND,2015-2016
6766,PS 325,PHILIPPINE POL PARTIES AND MOVEMENT,3,3RD,C,AB POLSCI,2ND,2015-2016
6765,PS 324,LOCAL GOVT OF THE PHILIPPINES,3,3RD,C,AB POLSCI,2ND,2015-2016
6764,PS 322,QUANTITATIVE ANALYSIS OF POL. DATA,3,3RD,C,AB POLSCI,2ND,2015-2016
6763,PS 411,HUMAN RIGHTS SITUATION IN THE PHILIPPINES,3,3RD,C,AB POLSCI,2ND,2015-2016
6762,,,,,,,,
6761,PS 424,INTERNATIONAL LAW,3,3RD,B,AB POLSCI,2ND,2015-2016
6760,PS A2,DIPLOMATIC AND CONSULAR PRACTICES,3,3RD,B,AB POLSCI,2ND,2015-2016
6759,LAW 003,PARTNERSHIP AND CORPORATION,3,3RD,B,AB POLSCI,2ND,2015-2016
6758,PS A3,PHILIPPINE FOREIGN RELATION,3,3RD,B,AB POLSCI,2ND,2015-2016
6757,PS 325,PHILIPPINE POL PARTIES AND MOVEMENT,3,3RD,B,AB POLSCI,2ND,2015-2016
6756,PS 324,LOCAL GOVT OF THE PHILIPPINES,3,3RD,B,AB POLSCI,2ND,2015-2016
